x,y,z_s,snr,image_positions,magnifications
1.7000000000000002,2.157971014492753,1.25,0.8199391912702819,"[(1.128977412536058, 1.6399418003520128)]",[1.9067621197110833]
1.7000000000000002,2.1,1.45,0.4056897382795438,"[(1.1996455526370773, 1.5996455526051616)]",[1.7907063148312439]
1.7000000000000002,2.128985507246377,1.45,0.73625034566407,"[(1.1880096464421128, 1.6404752177157347)]",[1.8109652789662445]
1.7000000000000002,2.157971014492753,1.45,1.488303424441846,"[(1.1761923020782519, 1.681930288609733)]",[1.8244799089019053]
1.7000000000000002,2.1,1.4,2.2307799895401206,"[(1.1903537336374006, 1.5903537336379987)]",[1.8199194061848507]
1.7000000000000002,2.128985507246377,1.4,2.331451857219653,"[(1.1784565590251672, 1.6314505599676377)]",[1.8281975204835144]
1.7000000000000002,2.157971014492753,1.4,0.2717052206997207,"[(1.1663752635008786, 1.6731868209096896)]",[1.8419837737416138]
1.7000000000000002,2.1,1.55,1.0268380471373766,"[(1.215560086488887, 1.6155600864951374)]",[1.765537548303589]
1.7000000000000002,2.128985507246377,1.55,0.7839940916022288,"[(1.2043632042386978, 1.6559406643487686)]",[1.7790520978356914]
1.7000000000000002,2.1,1.7,0.579350299728547,"[(1.2344292409504634, 1.6344292409312713)]",[1.7315815566356862]
1.7000000000000002,2.128985507246377,1.7,1.108207929230866,"[(1.223747837307132, 1.67428374521799)]",[1.7444245684992805]
1.7000000000000002,2.1,1.5,1.0405656412796858,"[(1.2080033529593264, 1.6080033529877824)]",[1.776876871371082]
1.7000000000000002,2.128985507246377,1.5,2.897653710476118,"[(1.1965991667740465, 1.6485956862957074)]",[1.7905935974721565]
1.7000000000000002,2.157971014492753,1.5,0.1398864128216203,"[(1.1850190903717026, 1.6897960491070174)]",[1.8036278888549049]
1.7000000000000002,2.1,1.6,0.7420793076158286,"[(1.2224246620671009, 1.6224246620934135)]",[1.7562788769281594]
1.7000000000000002,2.128985507246377,1.6,1.3979303655959363,"[(1.2114151020166761, 1.6626137388901256)]",[1.769659073785337]
1.7000000000000002,2.157971014492753,1.6,0.374715282534978,"[(1.2002358066803296, 1.703388070223962)]",[1.7823956226423832]
1.7000000000000002,2.1,1.65,0.6723161340149796,"[(1.228688714642348, 1.6286887146421989)]",[1.7374710253233614]
1.7000000000000002,2.128985507246377,1.65,2.5250084300615643,"[(1.2178522756046841, 1.6687018477513025)]",[1.7503593779719007]
1.7000000000000002,2.157971014492753,1.65,1.0772865776987262,"[(1.20685011274344, 1.709288086874176)]",[1.7627182211359207]
1.7000000000000002,2.1,1.8,0.9428266991915802,"[(1.2445770063524795, 1.644577006346852)]",[1.7126530868656877]
1.7000000000000002,2.128985507246377,1.8,0.7016833372798824,"[(1.234169954334471, 1.684151626809871)]",[1.7251482588797697]
1.7000000000000002,2.1,1.85,0.5364053199286489,"[(1.2490832217830947, 1.649083221780476)]",[1.6995699091018874]
1.7000000000000002,2.128985507246377,1.85,0.0008189533711388,"[(1.2387972274069199, 1.6885348518868282)]",[1.7117517443746493]
1.7000000000000002,2.1,1.75,0.459915192733086,"[(1.239705584852622, 1.6397055848049036)]",[1.7160571080197204]
1.7000000000000002,2.128985507246377,1.75,0.3936920029712751,"[(1.2291676789893518, 1.679414254103555)]",[1.7285276156111429]
1.7000000000000002,2.157971014492753,1.75,5.226696582886468,"[(1.2184694026784726, 1.7196776845056156)]",[1.7404729667290888]
1.7000000000000002,2.1,1.9,0.3051306577954063,"[(1.2532682260099968, 1.65326822600037)]",[1.6981024274777041]
1.7000000000000002,2.128985507246377,1.9,0.6098156041820317,"[(1.2430944484750075, 1.6926046912994)]",[1.7103331096021757]
1.7000000000000002,2.1,2.0,2.356980580396827,"[(1.26079529832822, 1.660795298304798)]",[1.6869221367939569]
1.7000000000000002,2.128985507246377,2.0,1.530757971383459,"[(1.2508225390236312, 1.6999264412560604)]",[1.6935523681994327]
1.7000000000000002,2.157971014492753,2.0,0.4083976180531005,"[(1.2406974153300596, 1.7395809685640757)]",[1.7049077199232059]
1.7000000000000002,2.1,1.95,1.8724166053791904,"[(1.2571624221423086, 1.657162422178619)]",[1.6869016983926786]
1.7000000000000002,2.128985507246377,1.95,0.7093325353384357,"[(1.247092281325984, 1.6963936561152115)]",[1.6988472846399818]
1.7000000000000002,2.157971014492753,1.95,0.6091202797663344,"[(1.2368694376732885, 1.7361519919034551)]",[1.7103044369601235]
1.7000000000000002,2.1,2.15,0.3066020079770967,"[(1.2703715701245966, 1.670371570078828)]",[1.6698947065150065]
1.7000000000000002,2.128985507246377,2.15,2.4007019709431803,"[(1.2606519133945313, 1.709245485286875)]",[1.6763570387934867]
1.7000000000000002,2.1,2.1,3.436537830084425,"[(1.2673804468567338, 1.6673804468107485)]",[1.6681965292669758]
1.7000000000000002,2.128985507246377,2.1,0.5738150525918766,"[(1.257581264569216, 1.706335314915018)]",[1.6797916907542794]
1.7000000000000002,2.1,2.2,0.2827416174766034,"[(1.2731887886326794, 1.6731887885985524)]",[1.661940600974633]
1.7000000000000002,2.128985507246377,2.2,0.4585645953346975,"[(1.2635439406906979, 1.7119856763463506)]",[1.6734617476728288]
1.7000000000000002,2.1,2.05,0.9343288137024816,"[(1.2641951285310984, 1.6641951285324197)]",[1.6772023910553389]
1.7000000000000002,2.128985507246377,2.05,0.602572588386314,"[(1.2543123217845424, 1.703234892792331)]",[1.6889992945293044]
1.7000000000000002,2.157971014492753,2.05,0.0214110286087477,"[(1.2442795733169862, 1.7427910778430846)]",[1.7003289529437509]
1.7000000000000002,2.1,2.25,1.2670848589650587,"[(1.2758438586813379, 1.6758438586918036)]",[1.6545388330834057]
1.7000000000000002,2.128985507246377,2.25,1.1413357323487388,"[(1.2662680285583772, 1.7145707154336713)]",[1.6658609401758215]
1.7000000000000002,2.157971014492753,2.25,24.98855953302298,"[(1.256547659050719, 1.7537953418788699)]",[1.676785321319367]
1.7000000000000002,2.1,2.3,0.2333298582858639,"[(1.2783504900960465, 1.6783504901382418)]",[1.6475859681603418]
